orderID,candidate_address,is_comp,subject_address,bath_score_diff,full_baths_diff,half_baths_diff,room_count_diff,bedrooms_diff,effective_age_diff,subject_age_diff,lot_size_diff_sf,gla_diff,gla_per_bedroom_diff,lot_util_diff,condition_diff,basement_score_diff,abs_bath_score_diff,abs_full_bath_diff,abs_half_bath_diff,abs_room_count_diff,abs_bedrooms_diff,abs_effective_age_diff,abs_subject_age_diff,abs_lot_size_diff_sf,abs_gla_diff,abs_basement_score_diff,distance_to_subject_km,same_property_type,sold_recently,score,rank,subject_bath_score,subject_num_full_baths,subject_num_half_baths,subject_bedrooms,subject_gla,subject_lot_size_sf,subject_property_type,subject_condition,candidate_bath_score,candidate_num_full_baths,candidate_num_half_baths,candidate_bedrooms,candidate_gla,candidate_lot_size_sf,candidate_property_type,candidate_close_price,candidate_condition,explanation
4723364,2480 Hitchcock Rd,1,1050 John F. Scott Rd Kingston ON K7L4V3,0.5,0.0,,0.0,0.0,-20.0,45.0,169884.0,-96.0,32.0,0.0030684414614228,1.0,0.25,0.5,0.0,,0.0,0.0,20.0,45.0,169884.0,96.0,0.25,9.98,1.0,1.0,0.9170327186584473,1.0,1.5,1,1,3.0,1254,609840.0,Detached,Average,1.0,1,0,3,1350,439956.0,Detached,349000,Inferior,"The candidate property at 2480 Hitchcock Rd was ranked as more comparable to the subject property primarily due to its identical room count and bedroom count, which positively impacted the score. The effective age difference of -20 years also contributed positively to the similarity score. However, the model considered the slight difference in absolute bathroom score and lot utility, as well as the fact that the candidate property was sold recently, as factors that made the candidate less similar to the subject property."
4723364,1996 McFarlane Rd,1,1050 John F. Scott Rd Kingston ON K7L4V3,0.5,0.0,,-5.0,0.0,-85.0,-20.0,566280.0,270.0,90.0,0.022589484474815,0.0,0.25,0.5,0.0,,5.0,0.0,85.0,20.0,566280.0,270.0,0.25,6.44,1.0,0.0,0.8485851883888245,2.0,1.5,1,1,3.0,1254,609840.0,Detached,Average,1.0,1,0,3,984,43560.0,Detached,400000,Average,"The model ranked the candidate property at 1996 McFarlane Rd as relatively comparable to the subject property due to its effective age being 85 years older than the subject, which contributed significantly to the similarity score (SHAP +1.56). However, the lower room count and higher absolute room count of the candidate property compared to the subject decreased its similarity score (SHAP -0.10 and -0.21, respectively), leading to an overall score of 0.85."
4723364,2738 Isle of Man Rd,1,1050 John F. Scott Rd Kingston ON K7L4V3,0.0,0.0,0.0,-2.0,1.0,-65.0,0.0,571943.0,440.0,11.0,0.0214792255600285,1.0,0.25,0.0,0.0,0.0,2.0,1.0,65.0,0.0,571943.0,440.0,0.25,2.94,1.0,1.0,0.727422833442688,3.0,1.5,1,1,3.0,1254,609840.0,Detached,Average,1.5,1,1,2,814,37897.0,Detached,435000,Superior,"The candidate property at 2738 Isle of Man Rd received a higher similarity score due to its effective age being 65 years less than the subject property, contributing a substantial positive impact. Additionally, having the same subject age and bath score as the subject property further increased its similarity score. However, the lower room count, higher GLA (440 sq. ft. more), and one additional bedroom compared to the subject resulted in a slight decrease in similarity score."
4742669,523 35A St NW,1,"504 37 St NW, Calgary, AB T2N 3B8, Canada",0.0,0.0,,-1.0,0.0,-47.0,1.0,-657.0,-172.0,86.0,0.1910834564173116,0.0,1.5,0.0,0.0,,1.0,0.0,47.0,1.0,657.0,172.0,1.5,0.07,1.0,0.0,4.476931095123291,1.0,2.0,2,0,2.0,840,4639.0,Detached,Average,2.0,2,0,2,1012,5296.0,Detached,802500,Similar,"The model ranked the candidate property as more comparable to the subject due to its lower effective age, matching number of bedrooms, and slightly fewer rooms, which all positively contributed to its similarity score. However, the candidate was considered less similar due to its larger lot size difference and a higher absolute basement score compared to the subject property, which negatively impacted its overall comparability score."
4742669,2536 4 Ave NW,1,"504 37 St NW, Calgary, AB T2N 3B8, Canada",0.0,0.0,,0.0,0.0,-48.0,0.0,-754.0,0.0,0.0,0.1557533065027138,0.0,1.5,0.0,0.0,,0.0,0.0,48.0,0.0,754.0,0.0,1.5,1.54,1.0,1.0,4.3519792556762695,2.0,2.0,2,0,2.0,840,4639.0,Detached,Average,2.0,2,0,2,840,5393.0,Detached,810000,Similar,"The candidate property was ranked as more comparable due to its identical room count and bedroom count, which had a positive impact on the score. Additionally, despite being older by 48 years, the effective age difference still contributed positively to the similarity score. However, the higher lot utility difference and the recent sale of the candidate property had a negative impact on the score, indicating less similarity to the subject property."
4742669,2425 3 Ave NW,1,"504 37 St NW, Calgary, AB T2N 3B8, Canada",1.0,1.0,,-1.0,0.0,-55.0,-7.0,-775.0,-172.0,86.0,0.1869186358837726,1.0,1.5,1.0,1.0,,1.0,0.0,55.0,7.0,775.0,172.0,1.5,1.77,1.0,1.0,3.3745105266571045,3.0,2.0,2,0,2.0,840,4639.0,Detached,Average,1.0,1,0,2,1012,5414.0,Detached,670000,Inferior,"The candidate property is considered more similar to the subject property due to its lower effective age (-55 years) and a comparable number of bedrooms, despite having one fewer room overall. However, the model found the candidate less similar due to a slightly larger lot size difference and a higher absolute basement score, even though it was sold more recently. Overall, the lower effective age had the greatest positive impact on the similarity score, while the lot size and absolute basement score had the most negative impact."
4752865,3116 Winspear Cres SW,1,8915 20 Ave SW Edmonton AB T6X2C5,0.0,0.0,0.0,0.0,0.0,-5.0,-3.0,979.0,204.0,51.0,0.5006220839448231,0.0,0.5,0.0,0.0,0.0,0.0,0.0,5.0,3.0,979.0,204.0,0.5,2.17,1.0,0.0,2.1559176445007324,1.0,2.5,2,1,4.0,2974,6512.0,Detached,Good,2.5,2,1,4,2770,5533.0,Detached,842500,Similar,"The candidate property was ranked as more comparable to the subject due to having the same number of rooms and bedrooms, which positively influenced the similarity score. Additionally, the slightly lower effective age of the candidate property compared to the subject also contributed positively. However, the larger difference in lot utility and greater GLA per bedroom in the candidate property compared to the subject had a negative impact on the similarity score."
4752865,1253 Adamson Dr SW,1,8915 20 Ave SW Edmonton AB T6X2C5,0.0,0.0,0.0,0.0,0.0,-8.0,-6.0,-754.0,-390.0,97.5,0.4629677706035908,1.0,0.5,0.0,0.0,0.0,0.0,0.0,8.0,6.0,754.0,390.0,0.5,3.27,1.0,1.0,1.7642326354980469,2.0,2.5,2,1,4.0,2974,6512.0,Detached,Good,2.5,2,1,4,3364,7266.0,Detached,1194500,Superior,"The model ranked the candidate property as more comparable to the subject property due to its identical room count and bedrooms, as well as its slightly lower effective age, which had the most positive impact on the score. However, the larger absolute gross living area difference and the relatively higher lot utility difference made the candidate less similar, resulting in a score of 1.76."
4752865,716 40 St SW,1,8915 20 Ave SW Edmonton AB T6X2C5,0.0,0.0,0.0,1.0,1.0,-4.0,-2.0,1884.0,418.0,108.5,0.552279921940812,0.0,0.5,0.0,0.0,0.0,1.0,1.0,4.0,2.0,1884.0,418.0,0.5,4.69,1.0,0.0,1.6511958837509155,3.0,2.5,2,1,4.0,2974,6512.0,Detached,Good,2.5,2,1,3,2556,4628.0,Detached,844707,Similar,"The model ranked the candidate property as more comparable to the subject due to its similar room count, effective age, and subject age. Even though the candidate had one more bedroom, the discrepancy was relatively minor. However, the significantly larger gross living area (GLA) of the candidate property made it less similar to the subject, impacting the overall score."
4755196,156 Aquarium Ave,1,531 Des Genévriers Rue Orléans ON K4A0Z2,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-629.0,-115.0,28.75,0.7259858832497423,1.0,1.5,0.0,0.0,0.0,0.0,0.0,2.0,4.0,629.0,115.0,1.5,0.84,1.0,1.0,4.283145427703857,1.0,3.5,3,1,4.0,2956,3601.0,Detached,Good,3.5,3,1,4,3071,4230.0,Detached,1130000,Superior,"The candidate property at 156 Aquarium Ave received a higher similarity score due to its matching room count, bedrooms, and a slightly higher effective age compared to the subject, as indicated by positive SHAP values. However, the model perceived the property as less similar due to its recent sale status, larger lot utility difference, and a higher GLA per bedroom difference, as indicated by the negative SHAP values."
