orderID,candidate_address,is_comp,subject_address,bath_score_diff,full_baths_diff,half_baths_diff,room_count_diff,bedrooms_diff,effective_age_diff,subject_age_diff,lot_size_sf_diff,gla_diff,gla_per_bedroom_diff,lot_util_diff,condition_diff,abs_bath_score_diff,abs_full_bath_diff,abs_half_bath_diff,abs_room_count_diff,abs_bedrooms_diff,abs_effective_age_diff,abs_subject_age_diff,abs_lot_size_sf_diff,abs_gla_diff,distance_to_subject_km,same_property_type,sold_recently
4762597,930 Amberdale Cres,1,142-950 Oakview Ave Kingston ON K7M 6W8,-0.5,-1.0,,0.0,0.0,-24.0,0.0,,0.0,0.0,,1.0,0.5,1.0,,0.0,0.0,24.0,0.0,,0.0,0.15,1.0,0
4762597,771 Ashwood Dr,1,142-950 Oakview Ave Kingston ON K7M 6W8,0.5,0.0,,0.0,0.0,-24.0,0.0,,0.0,0.0,,1.0,0.5,0.0,,0.0,0.0,24.0,0.0,,0.0,0.02,1.0,1
4762597,995 Amberdale Cres,1,142-950 Oakview Ave Kingston ON K7M 6W8,-0.5,-1.0,,0.0,0.0,-24.0,0.0,,0.0,0.0,,1.0,0.5,1.0,,0.0,0.0,24.0,0.0,,0.0,0.09,1.0,1
4762597,463 Conservatory Dr,0,142-950 Oakview Ave Kingston ON K7M 6W8,-1.0,-1.0,0.0,-5.0,0.0,,,,-456.0,0.0,,2.0,1.0,1.0,0.0,5.0,0.0,,,,456.0,1.875,0.0,1
4762597,311 Janette St,0,142-950 Oakview Ave Kingston ON K7M 6W8,-1.0,-1.0,0.0,-5.0,0.0,,,,-456.0,0.0,,2.0,1.0,1.0,0.0,5.0,0.0,,,,456.0,1.507,1.0,1
4762597,4056 Bath Rd,0,142-950 Oakview Ave Kingston ON K7M 6W8,-2.5,-3.0,,-7.0,-1.0,,,,,,,,2.5,3.0,,7.0,1.0,,,,,1.957,0.0,1
4762597,786 HIGH GATE PARK Dr,0,142-950 Oakview Ave Kingston ON K7M 6W8,0.0,0.0,0.0,-1.0,0.0,,,,-256.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,,,,256.0,1.316,0.0,1
4762597,784 Downing St,0,142-950 Oakview Ave Kingston ON K7M 6W8,-0.5,-1.0,,-6.0,-2.0,,,,-206.0,0.0,,2.0,0.5,1.0,,6.0,2.0,,,,206.0,0.654,0.0,1
4762597,593 Roosevelt Dr,0,142-950 Oakview Ave Kingston ON K7M 6W8,-1.0,-1.0,0.0,0.0,-1.0,,,,-836.0,0.0,,2.0,1.0,1.0,0.0,0.0,1.0,,,,836.0,1.589,0.0,1
4762597,657 Gwen Ave,0,142-950 Oakview Ave Kingston ON K7M 6W8,-1.0,-1.0,0.0,-5.0,-1.0,,,,-956.0,0.0,,2.0,1.0,1.0,0.0,5.0,1.0,,,,956.0,1.757,0.0,1
4762597,1341 TREMONT Dr,0,142-950 Oakview Ave Kingston ON K7M 6W8,-1.5,-2.0,,-3.0,0.0,,,,-506.0,0.0,,1.0,1.5,2.0,,3.0,0.0,,,,506.0,1.934,1.0,1
4762597,Unit 402 - 649 DAVIS Dr,0,142-950 Oakview Ave Kingston ON K7M 6W8,0.5,0.0,,-1.0,1.0,,,,-56.0,0.0,,2.0,0.5,0.0,,1.0,1.0,,,,56.0,,0.0,1
4762597,1028 Bauder Cres,0,142-950 Oakview Ave Kingston ON K7M 6W8,0.5,0.0,,-4.0,0.0,-15.0,9.0,,144.0,0.0,,1.0,0.5,0.0,,4.0,0.0,15.0,9.0,,144.0,0.951,0.0,1
4762597,1040 Earnhart St,0,142-950 Oakview Ave Kingston ON K7M 6W8,-3.0,-2.0,0.0,-1.0,0.0,,,,-706.0,0.0,,2.0,3.0,2.0,0.0,1.0,0.0,,,,706.0,1.863,0.0,1
4762597,1028 Bauder Crescent ,0,142-950 Oakview Ave Kingston ON K7M 6W8,0.5,0.0,,-4.0,0.0,,,,144.0,0.0,,1.0,0.5,0.0,,4.0,0.0,,,,144.0,,0.0,1
4762597,994 WESTMINSTER Place ,0,142-950 Oakview Ave Kingston ON K7M 6W8,0.0,0.0,0.0,-2.0,0.0,,,,-560.0,0.0,,2.0,0.0,0.0,0.0,2.0,0.0,,,,560.0,,0.0,1
4762597,2138 Balantrae Circ,0,142-950 Oakview Ave Kingston ON K7M 6W8,-1.5,-2.0,,-1.0,-1.0,,,,-806.0,0.0,,2.0,1.5,2.0,,1.0,1.0,,,,806.0,,0.0,1
4762597,2138 Balantrae Circle ,0,142-950 Oakview Ave Kingston ON K7M 6W8,-1.5,-2.0,,-1.0,-1.0,,,,-706.0,0.0,,2.0,1.5,2.0,,1.0,1.0,,,,706.0,,0.0,1
4762597,692 Truedell Rd,0,142-950 Oakview Ave Kingston ON K7M 6W8,0.0,0.0,0.0,-2.0,0.0,,,,-208.0,0.0,,1.0,0.0,0.0,0.0,2.0,0.0,,,,208.0,0.797,0.0,1
4762597,728 Sussex Blvd,0,142-950 Oakview Ave Kingston ON K7M 6W8,-0.5,-1.0,,1.0,0.0,,,,-256.0,0.0,,1.0,0.5,1.0,,1.0,0.0,,,,256.0,0.676,0.0,1
4762597,728 Sussex Boulevard ,0,142-950 Oakview Ave Kingston ON K7M 6W8,-0.5,-1.0,,1.0,0.0,,,,-256.0,0.0,,1.0,0.5,1.0,,1.0,0.0,,,,256.0,,0.0,1
4762597,Unit 51 - 808 Datzell Lane,0,142-950 Oakview Ave Kingston ON K7M 6W8,0.0,0.0,0.0,-2.0,0.0,,,,-56.0,0.0,,1.0,0.0,0.0,0.0,2.0,0.0,,,,56.0,,1.0,1
4762597,1126 Dunham St,0,142-950 Oakview Ave Kingston ON K7M 6W8,-1.5,-2.0,,-8.0,-2.0,,,,-1656.0,0.0,,2.0,1.5,2.0,,8.0,2.0,,,,1656.0,1.08,0.0,1
4762597,983 Westminster Place ,0,142-950 Oakview Ave Kingston ON K7M 6W8,0.0,0.0,0.0,-4.0,-2.0,,,,-677.0,0.0,,,0.0,0.0,0.0,4.0,2.0,,,,677.0,,0.0,1
4762597,4061 BATH Rd ,0,142-950 Oakview Ave Kingston ON K7M 6W8,-0.5,-1.0,,-6.0,-1.0,-50.0,-26.0,,-776.0,0.0,,2.0,0.5,1.0,,6.0,1.0,50.0,26.0,,776.0,,0.0,1
4762597,661 Roosevelt Dr,0,142-950 Oakview Ave Kingston ON K7M 6W8,-0.5,-1.0,,-2.0,1.0,,,,-456.0,0.0,,,0.5,1.0,,2.0,1.0,,,,456.0,1.85,0.0,1
4762597,657 Barnsley Cres,0,142-950 Oakview Ave Kingston ON K7M 6W8,-0.5,-1.0,,-5.0,0.0,,,,-457.0,0.0,,2.0,0.5,1.0,,5.0,0.0,,,,457.0,2.031,0.0,1
4762597,418 Conservatory Dr,0,142-950 Oakview Ave Kingston ON K7M 6W8,-1.0,-1.0,0.0,-1.0,0.0,,,,-572.0,0.0,,2.0,1.0,1.0,0.0,1.0,0.0,,,,572.0,1.904,0.0,1
4762597,657 Barnsley Crescent ,0,142-950 Oakview Ave Kingston ON K7M 6W8,-0.5,-1.0,,-5.0,0.0,,,,-462.0,0.0,,2.0,0.5,1.0,,5.0,0.0,,,,462.0,,0.0,1
4762597,1001 Lombardy St,0,142-950 Oakview Ave Kingston ON K7M 6W8,-1.0,-1.0,0.0,-7.0,-1.0,,,,-456.0,0.0,,2.0,1.0,1.0,0.0,7.0,1.0,,,,456.0,1.047,0.0,1
4762597,605 Truedell Rd ,0,142-950 Oakview Ave Kingston ON K7M 6W8,0.0,0.0,0.0,-1.0,0.0,-15.0,9.0,,-256.0,0.0,,2.0,0.0,0.0,0.0,1.0,0.0,15.0,9.0,,256.0,,0.0,1
4762597,Unit 108 - 835 Milford Dr ,0,142-950 Oakview Ave Kingston ON K7M 6W8,0.5,0.0,,1.0,2.0,-50.0,-26.0,,494.0,0.0,,0.0,0.5,0.0,,1.0,2.0,50.0,26.0,,494.0,,0.0,1
4762597,494 Roosevelt Dr ,0,142-950 Oakview Ave Kingston ON K7M 6W8,0.0,0.0,0.0,-1.0,0.0,-15.0,9.0,,-256.0,0.0,,2.0,0.0,0.0,0.0,1.0,0.0,15.0,9.0,,256.0,,0.0,1
4762597,393 Bernice Dr ,0,142-950 Oakview Ave Kingston ON K7M 6W8,-1.5,-2.0,,-5.0,-1.0,-15.0,9.0,,-1426.0,0.0,,2.0,1.5,2.0,,5.0,1.0,15.0,9.0,,1426.0,,0.0,1
4762597,871 Crestwood Ave ,0,142-950 Oakview Ave Kingston ON K7M 6W8,-1.0,-1.0,0.0,-5.0,-1.0,-15.0,9.0,,-1706.0,0.0,,1.0,1.0,1.0,0.0,5.0,1.0,15.0,9.0,,1706.0,,0.0,1
4762597,760 Grouse Cres ,0,142-950 Oakview Ave Kingston ON K7M 6W8,-0.5,-1.0,,0.0,0.0,-15.0,9.0,,-112.0,0.0,,1.0,0.5,1.0,,0.0,0.0,15.0,9.0,,112.0,,0.0,1
4762597,698 Fleet St ,0,142-950 Oakview Ave Kingston ON K7M 6W8,0.0,0.0,0.0,-5.0,0.0,,,,-449.0,0.0,,0.0,0.0,0.0,0.0,5.0,0.0,,,,449.0,,0.0,1
4762597,912 OAKVIEW St ,0,142-950 Oakview Ave Kingston ON K7M 6W8,0.5,0.0,,-1.0,0.0,,,,-256.0,0.0,,,0.5,0.0,,1.0,0.0,,,,256.0,,1.0,1
4762597,760 Grouse Crescent ,0,142-950 Oakview Ave Kingston ON K7M 6W8,-0.5,-1.0,,0.0,0.0,,,,-75.0,0.0,,1.0,0.5,1.0,,0.0,0.0,,,,75.0,,0.0,1
4762597,995 Amberdale Crescent ,0,142-950 Oakview Ave Kingston ON K7M 6W8,0.0,0.0,0.0,-2.0,0.0,,,,-56.0,0.0,,1.0,0.0,0.0,0.0,2.0,0.0,,,,56.0,,1.0,1
4762597,616 Pimlico Pl ,0,142-950 Oakview Ave Kingston ON K7M 6W8,-1.0,-1.0,0.0,-4.0,0.0,,,,-706.0,0.0,,2.0,1.0,1.0,0.0,4.0,0.0,,,,706.0,,0.0,1
4762597,616 Pimlico Place ,0,142-950 Oakview Ave Kingston ON K7M 6W8,-1.0,-1.0,0.0,-4.0,0.0,,,,-706.0,0.0,,2.0,1.0,1.0,0.0,4.0,0.0,,,,706.0,,0.0,1
4762597,792 Safari Dr ,0,142-950 Oakview Ave Kingston ON K7M 6W8,-1.5,-1.0,,-1.0,-1.0,-15.0,9.0,,-291.0,0.0,,2.0,1.5,1.0,,1.0,1.0,15.0,9.0,,291.0,,0.0,1
